2026-06-05 15:53:22,819 | INFO | framework | Execution started at 2026-06-05T15:53:22.819485
2026-06-05 15:53:22,834 | INFO | framework | Loaded 11 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 15:53:22,847 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-05 15:53:22,853 | INFO | framework | Loaded 1 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 15:53:22,853 | INFO | framework | [cas] 11 test cases loaded
2026-06-05 15:53:22,853 | INFO | framework | [merchant_cas] 1 test cases loaded
2026-06-05 15:53:23,026 | INFO | framework | [cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 15:53:23,153 | INFO | framework | [cas] Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-05 15:53:40,991 | INFO | framework | [merchant_cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 15:53:41,013 | INFO | framework | Execution completed. Summary={'total': 12, 'passed': 11, 'failed': 1, 'pass_percent': 91.67}
2026-06-08 15:58:37,665 | INFO | framework | Enabled services: cas
2026-06-08 15:58:37,666 | INFO | framework | Execution started at 2026-06-08T15:58:37.666257
2026-06-08 15:58:37,687 | INFO | framework | Loaded 23 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-08 15:58:37,703 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-08 15:58:37,718 | INFO | framework | Loaded 0 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-08 15:58:37,719 | INFO | framework | [cas] 23 test cases loaded
2026-06-08 15:58:37,890 | INFO | framework | [cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-08 15:58:38,024 | INFO | framework | [cas] Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-08 15:58:45,296 | INFO | framework | Execution completed. Summary={'total': 23, 'passed': 7, 'failed': 16, 'pass_percent': 30.43}
2026-06-08 16:02:12,820 | INFO | framework | Enabled services: cas
